year	emission	sector	region	value	unit
2012	N2O	Food, beverages & tobacco	Developing	1203.1716775618306	t
2012	N2O	Food, beverages & tobacco	Norway	2412.325214926996	t
2012	N2O	Metal & metal products	Europe	10.870371218889895	t
2012	N2O	Metal & metal products	Advanced	6.962178045050918	t
2012	N2O	Metal & metal products	Developing	26.185007544533807	t
2012	N2O	Metal & metal products	Norway	3.5189719079186763	t
2012	N2O	Mining & quarrying	Europe	18.008265269655794	t
2012	N2O	Mining & quarrying	Advanced	8.834979583431625	t
2012	N2O	Mining & quarrying	Developing	45.48546902810576	t
2012	N2O	Mining & quarrying	Norway	23.3019732899213	t
2012	N2O	Other manufacturing & recycl.	Europe	54.40064203120549	t
2012	N2O	Other manufacturing & recycl.	Advanced	23.16728010744348	t
2012	N2O	Other manufacturing & recycl.	Developing	193.8090086655461	t
2012	N2O	Other manufacturing & recycl.	Norway	7.634368696760036	t
2012	N2O	Petroleum, chem & non-met	Europe	78.91669145379953	t
2012	N2O	Petroleum, chem & non-met	Advanced	35.863475478310505	t
2012	N2O	Petroleum, chem & non-met	Developing	141.27234832622463	t
2012	N2O	Petroleum, chem & non-met	Norway	405.34660840526215	t
2012	N2O	Public services	Europe	184.2129100094642	t
2012	N2O	Public services	Advanced	62.3802918096698	t
2012	N2O	Public services	Developing	314.5429662522179	t
2012	N2O	Public services	Norway	337.8234203276825	t
2012	N2O	Recreation; other services	Europe	33.51947638980694	t
2012	N2O	Recreation; other services	Advanced	14.464137724689081	t
2012	N2O	Recreation; other services	Developing	76.45647912796872	t
2012	N2O	Recreation; other services	Norway	33.68810086036164	t
2012	N2O	Textiles & wearing apparel	Europe	64.76839496964354	t
2012	N2O	Textiles & wearing apparel	Advanced	32.574935909976226	t
2012	N2O	Textiles & wearing apparel	Developing	490.6082159782122	t
2012	N2O	Textiles & wearing apparel	Norway	8.303206731740422	t
2012	N2O	Transport	Europe	72.53406347649532	t
2012	N2O	Transport	Advanced	30.71615576741289	t
2012	N2O	Transport	Developing	114.91554249680647	t
2012	N2O	Transport	Norway	138.7021047413199	t
2012	N2O	Transport equipment	Europe	108.87220444845936	t
2012	N2O	Transport equipment	Advanced	45.46233903271616	t
2012	N2O	Transport equipment	Developing	185.76079026755485	t
2012	N2O	Transport equipment	Norway	24.839018289670452	t
2012	N2O	Wholesale, retail & hospitality	Europe	505.2978804473255	t
2012	N2O	Wholesale, retail & hospitality	Advanced	324.365547653399	t
2012	N2O	Wholesale, retail & hospitality	Developing	1151.938757649587	t
2012	N2O	Wholesale, retail & hospitality	Norway	182.00768543359624	t
2012	N2O	Wood, paper & publishing	Europe	24.24927668307475	t
2012	N2O	Wood, paper & publishing	Advanced	2.603812909938097	t
2012	N2O	Wood, paper & publishing	Developing	11.147509032573545	t
2012	N2O	Wood, paper & publishing	Norway	3.8491966319457953	t
2012	PFC	Agriculture, forestry & fishing	Europe	522.6827253008055	t CO2-eq
2012	PFC	Agriculture, forestry & fishing	Advanced	251.1939663782094	t CO2-eq
2012	PFC	Agriculture, forestry & fishing	Developing	610.5228390778184	t CO2-eq
2012	PFC	Agriculture, forestry & fishing	Norway	121.6647074724389	t CO2-eq
2012	PFC	Business Services	Europe	2871.365627678101	t CO2-eq
2012	PFC	Business Services	Advanced	2828.1871796624905	t CO2-eq
2012	PFC	Business Services	Developing	7415.211060868449	t CO2-eq
2012	PFC	Business Services	Norway	1572.1798964364339	t CO2-eq
2012	PFC	Construction	Europe	3842.6944887263185	t CO2-eq
2012	PFC	Construction	Advanced	4863.7930168466755	t CO2-eq
2012	PFC	Construction	Developing	11534.956961915235	t CO2-eq
2012	PFC	Construction	Norway	3415.966579750316	t CO2-eq
